"DateTime","Sales (USD)"
"2021-06-18 00:00:00",316104.26
"2021-06-19 00:00:00",810886.26
"2021-06-20 00:00:00",795126.01
"2021-06-21 00:00:00",498031.56
"2021-06-22 00:00:00",187362.19
"2021-06-23 00:00:00",395035.07
"2021-06-24 00:00:00",395990.33
"2021-06-25 00:00:00",3840927.68
"2021-06-26 00:00:00",1786512.92
"2021-06-27 00:00:00",922215.84
"2021-06-28 00:00:00",570438.08
"2021-06-29 00:00:00",319068.38
"2021-06-30 00:00:00",217423.23
"2021-07-01 00:00:00",120025.13
"2021-07-02 00:00:00",109911.34
"2021-07-03 00:00:00",86841.75
"2021-07-04 00:00:00",86639.86
"2021-07-05 00:00:00",84298.69
"2021-07-06 00:00:00",128593.47
"2021-07-07 00:00:00",136216.3
"2021-07-08 00:00:00",109836
"2021-07-09 00:00:00",138091.69
"2021-07-10 00:00:00",73148.51
"2021-07-11 00:00:00",112215.52
"2021-07-12 00:00:00",300113.23
"2021-07-13 00:00:00",186998.36
"2021-07-14 00:00:00",282795.58
"2021-07-15 00:00:00",281631
"2021-07-16 00:00:00",1054375.72
"2021-07-17 00:00:00",1558795.1
"2021-07-18 00:00:00",714701.02
"2021-07-19 00:00:00",3028363.93
"2021-07-20 00:00:00",2471569.01
"2021-07-21 00:00:00",1137507.18
"2021-07-22 00:00:00",614793.48
"2021-07-23 00:00:00",294858.48
"2021-07-24 00:00:00",174125.68
"2021-07-25 00:00:00",199810.33
"2021-07-26 00:00:00",268497.07
"2021-07-27 00:00:00",417917.1
"2021-07-28 00:00:00",166751.41
"2021-07-29 00:00:00",46275.12
"2021-07-30 00:00:00",141795.86
"2021-07-31 00:00:00",242263.1
"2021-08-01 00:00:00",786343.18
"2021-08-02 00:00:00",392360.36
"2021-08-03 00:00:00",814981.34
"2021-08-04 00:00:00",3210511.22
"2021-08-05 00:00:00",1415346.33
"2021-08-06 00:00:00",2756824.38
"2021-08-07 00:00:00",1154702.74
"2021-08-08 00:00:00",3629170.66
"2021-08-09 00:00:00",888366.39
"2021-08-10 00:00:00",441431.24
"2021-08-11 00:00:00",411568.03
"2021-08-12 00:00:00",281641.02
"2021-08-13 00:00:00",240923.28
"2021-08-14 00:00:00",562184.32
"2021-08-15 00:00:00",348577.01
"2021-08-16 00:00:00",239325.83
"2021-08-17 00:00:00",185425.77
"2021-08-18 00:00:00",202764.2
"2021-08-19 00:00:00",162004.15
"2021-08-20 00:00:00",560476.99
"2021-08-21 00:00:00",1635543.16
"2021-08-22 00:00:00",531603.48
"2021-08-23 00:00:00",3724583.07
"2021-08-24 00:00:00",4478938.23
"2021-08-25 00:00:00",1637513.44
"2021-08-26 00:00:00",1726393.64
"2021-08-27 00:00:00",1709998.26
"2021-08-28 00:00:00",8773624.45
"2021-08-29 00:00:00",2409010.28
"2021-08-30 00:00:00",4023133.29
"2021-08-31 00:00:00",1947680.96
"2021-09-01 00:00:00",1389061.03
"2021-09-02 00:00:00",1005693.38
"2021-09-03 00:00:00",628113.31
"2021-09-04 00:00:00",372502.75
"2021-09-05 00:00:00",848817.02
"2021-09-06 00:00:00",747580.04
"2021-09-07 00:00:00",465286.02
"2021-09-08 00:00:00",1187359.05
"2021-09-09 00:00:00",602056.33
"2021-09-10 00:00:00",678975.93
"2021-09-11 00:00:00",221951.59
"2021-09-12 00:00:00",2260362.21
"2021-09-13 00:00:00",397539.24
"2021-09-14 00:00:00",566384.52
"2021-09-15 00:00:00",535959.28
"2021-09-16 00:00:00",396795.12
"2021-09-17 00:00:00",266732.36
"2021-09-18 00:00:00",375179.73
"2021-09-19 00:00:00",420885.23
"2021-09-20 00:00:00",263014.85
"2021-09-21 00:00:00",1062343.8
"2021-09-22 00:00:00",324841.92
"2021-09-23 00:00:00",528868.83
"2021-09-24 00:00:00",374504.01
"2021-09-25 00:00:00",187241.96
"2021-09-26 00:00:00",412212.97
"2021-09-27 00:00:00",327417.25
"2021-09-28 00:00:00",183937.76
"2021-09-29 00:00:00",95430.8
"2021-09-30 00:00:00",782393.43
"2021-10-01 00:00:00",84721.24
"2021-10-02 00:00:00",213189.64
"2021-10-03 00:00:00",177507.23
"2021-10-04 00:00:00",145732.77
"2021-10-05 00:00:00",320116.42
"2021-10-06 00:00:00",242879.13
"2021-10-07 00:00:00",404500.55
"2021-10-08 00:00:00",494815.65
"2021-10-09 00:00:00",328979.16
"2021-10-10 00:00:00",176133.6
"2021-10-11 00:00:00",221703.14
"2021-10-12 00:00:00",138788.8
"2021-10-13 00:00:00",248746.62
"2021-10-14 00:00:00",179117.92
"2021-10-15 00:00:00",261602.44
"2021-10-16 00:00:00",156153.63
"2021-10-17 00:00:00",65076.54
"2021-10-18 00:00:00",99111.85
"2021-10-19 00:00:00",80408.08
"2021-10-20 00:00:00",110391.9
"2021-10-21 00:00:00",142891.55
"2021-10-22 00:00:00",252914.67
"2021-10-23 00:00:00",141475.11
"2021-10-24 00:00:00",88407.21
"2021-10-25 00:00:00",55728.94
"2021-10-26 00:00:00",107213
"2021-10-27 00:00:00",37039.82
"2021-10-28 00:00:00",52684.73
"2021-10-29 00:00:00",117639.95
"2021-10-30 00:00:00",144162.58
"2021-10-31 00:00:00",35384.55
"2021-11-01 00:00:00",128256.35
"2021-11-02 00:00:00",204547.6
"2021-11-03 00:00:00",115991.05
"2021-11-04 00:00:00",202338.98
"2021-11-05 00:00:00",116128.86
"2021-11-06 00:00:00",159046.94
"2021-11-07 00:00:00",276029.02
"2021-11-08 00:00:00",107090.34
"2021-11-09 00:00:00",227413.39
"2021-11-10 00:00:00",66450.17
"2021-11-11 00:00:00",171935.92
"2021-11-12 00:00:00",476645.72
"2021-11-13 00:00:00",1512346.69
"2021-11-14 00:00:00",2186540.57
"2021-11-15 00:00:00",1514209.04
"2021-11-16 00:00:00",1431912.63
"2021-11-17 00:00:00",2136582.63
"2021-11-18 00:00:00",1344029.91
"2021-11-19 00:00:00",768285.89
"2021-11-20 00:00:00",471478.28
"2021-11-21 00:00:00",463854.31
"2021-11-22 00:00:00",247851.03
"2021-11-23 00:00:00",157155.09
"2021-11-24 00:00:00",149605.37
"2021-11-25 00:00:00",360878.46
"2021-11-26 00:00:00",236575.89
"2021-11-27 00:00:00",114084.85
"2021-11-28 00:00:00",101167.5
"2021-11-29 00:00:00",741252.24
"2021-11-30 00:00:00",366744.57
"2021-12-01 00:00:00",167832.08
"2021-12-02 00:00:00",323762.21
"2021-12-03 00:00:00",171739.15
"2021-12-04 00:00:00",219085.61
"2021-12-05 00:00:00",206572
"2021-12-06 00:00:00",603053.66
"2021-12-07 00:00:00",141013.78
"2021-12-08 00:00:00",290843.16
"2021-12-09 00:00:00",298088.93
"2021-12-10 00:00:00",164835.22
"2021-12-11 00:00:00",288706.27
"2021-12-12 00:00:00",143378.18
"2021-12-13 00:00:00",173020.1
"2021-12-14 00:00:00",180986.18
"2021-12-15 00:00:00",81921.89
"2021-12-16 00:00:00",231515.04
"2021-12-17 00:00:00",234285.43
"2021-12-18 00:00:00",91602.46
"2021-12-19 00:00:00",85286.69
"2021-12-20 00:00:00",123025.9
"2021-12-21 00:00:00",173972.54
"2021-12-22 00:00:00",258512.51
"2021-12-23 00:00:00",955848.94
"2021-12-24 00:00:00",1044107.55
"2021-12-25 00:00:00",1374703.93
"2021-12-26 00:00:00",3859480.55
"2021-12-27 00:00:00",3329370.01
"2021-12-28 00:00:00",832020.32
"2021-12-29 00:00:00",969188.2
"2021-12-30 00:00:00",668292.77
"2021-12-31 00:00:00",908757.68
"2022-01-01 00:00:00",4028481.86
"2022-01-02 00:00:00",12580251.87
"2022-01-03 00:00:00",4975901.32
"2022-01-04 00:00:00",1526728.76
"2022-01-05 00:00:00",1052551.74
"2022-01-06 00:00:00",938555.38
"2022-01-07 00:00:00",528302.46
"2022-01-08 00:00:00",625454.45
"2022-01-09 00:00:00",877112.56
"2022-01-10 00:00:00",1174987.09
"2022-01-11 00:00:00",1326543.18
"2022-01-12 00:00:00",645449.14
"2022-01-13 00:00:00",559672.98
"2022-01-14 00:00:00",650959.07
"2022-01-15 00:00:00",526330.56
"2022-01-16 00:00:00",548637.12
"2022-01-17 00:00:00",905032.71
"2022-01-18 00:00:00",503040.53
"2022-01-19 00:00:00",1764206.9
"2022-01-20 00:00:00",1816627.76
"2022-01-21 00:00:00",1473069.19
"2022-01-22 00:00:00",1252696.3
"2022-01-23 00:00:00",913248.42
"2022-01-24 00:00:00",458965.17
