"DateTime","Sales (USD)"
"2021-07-12 00:00:00",1942.85
"2021-07-13 00:00:00",65087.33
"2021-07-14 00:00:00",39948.29
"2021-07-15 00:00:00",15132.18
"2021-07-16 00:00:00",7327.59
"2021-07-17 00:00:00",6178.33
"2021-07-18 00:00:00",2969.19
"2021-07-19 00:00:00",28398.57
"2021-07-20 00:00:00",36659.83
"2021-07-21 00:00:00",56124.19
"2021-07-22 00:00:00",57481.2
"2021-07-23 00:00:00",41635.07
"2021-07-24 00:00:00",30289.76
"2021-07-25 00:00:00",14501.27
"2021-07-26 00:00:00",39452.41
"2021-07-27 00:00:00",137468.58
"2021-07-28 00:00:00",91973.12
"2021-07-29 00:00:00",43250.33
"2021-07-30 00:00:00",9711.95
"2021-07-31 00:00:00",9918.02
"2021-08-01 00:00:00",48820.31
"2021-08-02 00:00:00",30975.83
"2021-08-03 00:00:00",15561.07
"2021-08-04 00:00:00",40245.61
"2021-08-05 00:00:00",23152.62
"2021-08-06 00:00:00",40910.09
"2021-08-07 00:00:00",40437.99
"2021-08-08 00:00:00",27011.54
"2021-08-09 00:00:00",25835.52
"2021-08-10 00:00:00",20443.33
"2021-08-11 00:00:00",19149.68
"2021-08-12 00:00:00",11709.79
"2021-08-13 00:00:00",29643.3
"2021-08-14 00:00:00",13409.73
"2021-08-15 00:00:00",36019.42
"2021-08-16 00:00:00",16917.88
"2021-08-17 00:00:00",10155.99
"2021-08-18 00:00:00",9511.38
"2021-08-19 00:00:00",4547.12
"2021-08-20 00:00:00",8161.7
"2021-08-21 00:00:00",10426.07
"2021-08-22 00:00:00",9703.75
"2021-08-23 00:00:00",5966.59
"2021-08-24 00:00:00",63528.21
"2021-08-25 00:00:00",11091.39
"2021-08-26 00:00:00",25628.69
"2021-08-27 00:00:00",7663.16
"2021-08-28 00:00:00",11986.37
"2021-08-29 00:00:00",16307.43
"2021-08-30 00:00:00",16851.55
"2021-08-31 00:00:00",13491.28
"2021-09-01 00:00:00",2589.83
"2021-09-02 00:00:00",10396.54
"2021-09-03 00:00:00",12393.05
"2021-09-04 00:00:00",17645.56
"2021-09-05 00:00:00",3466.67
"2021-09-06 00:00:00",6485.5
"2021-09-07 00:00:00",10387.36
"2021-09-08 00:00:00",36919.64
"2021-09-09 00:00:00",19950.55
"2021-09-10 00:00:00",5127.59
"2021-09-11 00:00:00",5880.34
"2021-09-12 00:00:00",2575.34
"2021-09-13 00:00:00",3287.26
"2021-09-14 00:00:00",15168.24
"2021-09-15 00:00:00",2824.35
"2021-09-16 00:00:00",2658.94
"2021-09-17 00:00:00",2774.23
"2021-09-18 00:00:00",12445.5
"2021-09-19 00:00:00",4581.7
"2021-09-20 00:00:00",11988.35
"2021-09-21 00:00:00",639.48
"2021-09-22 00:00:00",10263.95
"2021-09-23 00:00:00",2407.72
"2021-09-24 00:00:00",2436.69
"2021-09-25 00:00:00",5545.79
"2021-09-26 00:00:00",1317.15
"2021-09-27 00:00:00",5881.24
"2021-09-28 00:00:00",1952.68
"2021-09-29 00:00:00",1518.76
"2021-09-30 00:00:00",21232.49
"2021-10-01 00:00:00",18746.98
"2021-10-02 00:00:00",16085.95
"2021-10-03 00:00:00",4751.26
"2021-10-04 00:00:00",2251.73
"2021-10-05 00:00:00",5261.4
"2021-10-06 00:00:00",215.74
"2021-10-07 00:00:00",1218.5
"2021-10-08 00:00:00",2093.94
"2021-10-09 00:00:00",11396.21
"2021-10-11 00:00:00",2799.28
"2021-10-12 00:00:00",10826.81
"2021-10-13 00:00:00",3578.7
"2021-10-14 00:00:00",3136.61
"2021-10-15 00:00:00",714.91
"2021-10-16 00:00:00",173.71
"2021-10-17 00:00:00",170.69
